transaction_date,product_id,quantity_sold,current_stock,is_promo
2022-02-27,P0001,68,129,1
2022-02-28,P0001,344,361,1
2022-03-01,P0001,28,263,0
2022-03-02,P0001,93,216,1
2022-03-03,P0001,36,304,1
2022-03-04,P0001,284,338,0
2022-03-05,P0001,282,496,0
2022-03-06,P0001,192,463,1
2022-03-07,P0001,348,380,0
2022-03-08,P0001,32,394,1
2022-03-09,P0001,26,339,0
2022-03-10,P0001,147,285,1
2022-03-11,P0001,141,348,1
2022-03-12,P0001,194,210,1
2022-03-13,P0001,95,327,0
2022-03-14,P0001,74,84,0
2022-03-15,P0001,78,172,0
2022-03-16,P0001,230,252,0
2022-03-17,P0001,89,124,1
2022-03-18,P0001,150,282,0
2022-03-19,P0001,285,388,0
2022-03-20,P0001,40,83,1
2022-03-21,P0001,58,100,1
2022-03-22,P0001,114,163,1
2022-03-23,P0001,21,82,1
2022-03-24,P0001,35,279,0
2022-03-25,P0001,31,441,0
2022-03-26,P0001,4,81,1
2022-03-27,P0001,289,324,0
2022-03-28,P0001,49,393,0
2022-03-29,P0001,3,110,0
2022-03-30,P0001,136,339,0
2022-03-31,P0001,85,358,0
2022-04-01,P0001,101,215,1
2022-04-02,P0001,70,200,1
2022-04-03,P0001,32,208,0
2022-04-04,P0001,54,70,1
2022-04-05,P0001,165,309,0
2022-04-06,P0001,158,322,0
2022-04-07,P0001,26,84,1
2022-04-08,P0001,130,322,0
2022-04-09,P0001,121,435,1
2022-04-10,P0001,282,292,0
2022-04-11,P0001,358,376,1
2022-04-12,P0001,238,381,0
2022-04-13,P0001,279,433,1
2022-04-14,P0001,108,241,0
2022-04-15,P0001,32,136,1
2022-04-16,P0001,183,445,0
2022-04-17,P0001,365,396,0
2022-04-18,P0001,47,319,0
2022-04-19,P0001,41,60,1
2022-04-20,P0001,51,164,1
2022-04-21,P0001,107,320,1
2022-04-22,P0001,405,407,0
2022-04-23,P0001,212,291,1
2022-04-24,P0001,14,81,1
2022-04-25,P0001,45,52,1
2022-04-26,P0001,452,489,0
2022-04-27,P0001,288,422,0
2022-04-28,P0001,334,348,1
2022-04-29,P0001,27,319,1
2022-04-30,P0001,149,162,0
2022-05-01,P0001,0,125,0
2022-05-02,P0001,1,193,1
2022-05-03,P0001,18,231,1
2022-05-04,P0001,127,383,0
2022-05-05,P0001,49,252,0
2022-05-06,P0001,26,253,1
2022-05-07,P0001,39,334,1
2022-05-08,P0001,6,103,0
2022-05-09,P0001,173,195,0
2022-05-10,P0001,19,118,0
2022-05-11,P0001,19,185,1
2022-05-12,P0001,10,426,0
2022-05-13,P0001,357,496,0
2022-05-14,P0001,226,470,0
2022-05-15,P0001,213,392,1
2022-05-16,P0001,121,179,1
2022-05-17,P0001,191,264,0
2022-05-18,P0001,148,373,1
2022-05-19,P0001,17,81,0
2022-05-20,P0001,75,340,0
2022-05-21,P0001,314,494,1
2022-05-22,P0001,46,175,0
2022-05-23,P0001,66,114,0
2022-05-24,P0001,173,459,1
2022-05-25,P0001,68,78,0
2022-05-26,P0001,200,211,1
2022-05-27,P0001,32,94,1
2022-05-28,P0001,393,434,0
2022-05-29,P0001,11,94,0
2022-05-30,P0001,307,372,1
2022-05-31,P0001,109,111,1
2022-06-01,P0001,198,461,1
2022-06-02,P0001,385,386,1
2022-06-03,P0001,25,53,0
2022-06-04,P0001,48,72,0
2022-06-05,P0001,164,265,0
2022-06-06,P0001,113,219,0
2022-06-07,P0001,237,256,0
2022-06-08,P0001,90,209,0
2022-06-09,P0001,259,403,0
2022-06-10,P0001,158,163,0
2022-06-11,P0001,254,374,0
2022-06-12,P0001,315,469,1
2022-06-13,P0001,58,91,0
2022-06-14,P0001,109,133,1
2022-06-15,P0001,98,124,0
2022-06-16,P0001,260,290,1
2022-06-17,P0001,53,289,0
2022-06-18,P0001,31,390,1
2022-06-19,P0001,253,478,0
2022-06-20,P0001,205,338,0
2022-06-21,P0001,191,403,1
2022-06-22,P0001,238,264,1
2022-06-23,P0001,268,492,0
2022-06-24,P0001,95,321,1
2022-06-25,P0001,202,454,1
2022-06-26,P0001,8,74,1
2022-06-27,P0001,48,421,0
2022-06-28,P0001,256,332,0
2022-06-29,P0001,22,58,1
2022-06-30,P0001,151,452,0
2022-07-01,P0001,35,372,0
2022-07-02,P0001,8,61,0
2022-07-03,P0001,92,149,1
2022-07-04,P0001,143,483,1
2022-07-05,P0001,75,104,1
2022-07-06,P0001,4,305,1
2022-07-07,P0001,70,115,0
2022-07-08,P0001,118,145,1
2022-07-09,P0001,6,190,0
2022-07-10,P0001,56,475,0
2022-07-11,P0001,310,429,0
2022-07-12,P0001,87,152,0
2022-07-13,P0001,194,329,1
2022-07-14,P0001,374,399,0
2022-07-15,P0001,63,82,1
2022-07-16,P0001,39,87,1
2022-07-17,P0001,12,63,1
2022-07-18,P0001,42,193,0
2022-07-19,P0001,179,238,1
2022-07-20,P0001,114,392,1
2022-07-21,P0001,183,498,0
2022-07-22,P0001,88,422,0
2022-07-23,P0001,236,315,0
2022-07-24,P0001,292,337,1
2022-07-25,P0001,34,96,1
2022-07-26,P0001,153,212,1
2022-07-27,P0001,266,404,1
2022-07-28,P0001,312,314,1
2022-07-29,P0001,177,304,0
2022-07-30,P0001,202,418,0
2022-07-31,P0001,322,423,0
2022-08-01,P0001,67,73,1
2022-08-02,P0001,141,252,0
2022-08-03,P0001,224,329,1
2022-08-04,P0001,276,405,0
2022-08-05,P0001,27,427,1
2022-08-06,P0001,229,320,0
2022-08-07,P0001,244,420,0
2022-08-08,P0001,46,338,0
2022-08-09,P0001,208,211,0
2022-08-10,P0001,16,278,1
2022-08-11,P0001,178,479,0
2022-08-12,P0001,153,182,1
2022-08-13,P0001,71,77,1
2022-08-14,P0001,344,492,0
2022-08-15,P0001,156,187,0
2022-08-16,P0001,129,348,1
2022-08-17,P0001,248,404,1
2022-08-18,P0001,4,70,1
2022-08-19,P0001,178,192,0
2022-08-20,P0001,376,418,1
2022-08-21,P0001,176,263,0
2022-08-22,P0001,74,248,0
2022-08-23,P0001,227,497,0
2022-08-24,P0001,42,298,1
2022-08-25,P0001,63,260,1
2022-08-26,P0001,165,355,1
2022-08-27,P0001,225,341,1
2022-08-28,P0001,11,65,1
2022-08-29,P0001,180,205,0
2022-08-30,P0001,164,270,0
2022-08-31,P0001,204,278,0
2022-09-01,P0001,17,61,1
2022-09-02,P0001,155,157,0
2022-09-03,P0001,153,179,0
2022-09-04,P0001,59,290,0
2022-09-05,P0001,64,460,0
2022-09-06,P0001,365,385,0
2022-09-07,P0001,71,95,1
2022-09-08,P0001,48,83,1
2022-09-09,P0001,0,220,1
2022-09-10,P0001,228,344,0
2022-09-11,P0001,276,315,0
2022-09-12,P0001,351,388,1
2022-09-13,P0001,461,498,1
2022-09-14,P0001,89,339,0
2022-09-15,P0001,380,470,1
2022-09-16,P0001,64,111,1
2022-09-17,P0001,183,420,0
2022-09-18,P0001,46,334,1
2022-09-19,P0001,277,423,1
2022-09-20,P0001,138,422,1
2022-09-21,P0001,83,355,1
2022-09-22,P0001,150,408,1
2022-09-23,P0001,31,263,1
2022-09-24,P0001,148,468,1
2022-09-25,P0001,263,270,1
2022-09-26,P0001,248,362,1
2022-09-27,P0001,41,103,0
2022-09-28,P0001,36,104,1
2022-09-29,P0001,108,110,1
2022-09-30,P0001,59,214,1
2022-10-01,P0001,201,212,0
2022-10-02,P0001,336,361,0
2022-10-03,P0001,125,139,1
2022-10-04,P0001,17,197,0
2022-10-05,P0001,25,159,1
2022-10-06,P0001,39,118,0
2022-10-07,P0001,322,446,1
2022-10-08,P0001,169,270,0
2022-10-09,P0001,52,91,0
2022-10-10,P0001,300,343,1
2022-10-11,P0001,12,97,1
2022-10-12,P0001,315,498,0
2022-10-13,P0001,9,90,0
2022-10-14,P0001,317,414,1
2022-10-15,P0001,57,58,1
2022-10-16,P0001,113,120,1
2022-10-17,P0001,353,440,0
2022-10-18,P0001,274,403,1
2022-10-19,P0001,50,125,0
2022-10-20,P0001,116,325,1
2022-10-21,P0001,37,99,1
2022-10-22,P0001,39,211,0
2022-10-23,P0001,136,192,0
2022-10-24,P0001,295,367,0
2022-10-25,P0001,37,72,1
2022-10-26,P0001,39,77,0
2022-10-27,P0001,248,304,0
2022-10-28,P0001,203,361,0
2022-10-29,P0001,97,244,1
2022-10-30,P0001,70,352,0
2022-10-31,P0001,14,59,1
2022-11-01,P0001,171,187,1
2022-11-02,P0001,136,414,1
2022-11-03,P0001,179,341,0
2022-11-04,P0001,161,207,1
2022-11-05,P0001,305,386,0
2022-11-06,P0001,171,403,0
2022-11-07,P0001,112,176,1
2022-11-08,P0001,139,244,1
2022-11-09,P0001,105,462,0
2022-11-10,P0001,30,319,0
2022-11-11,P0001,77,101,0
2022-11-12,P0001,123,238,0
2022-11-13,P0001,79,494,0
2022-11-14,P0001,8,99,1
2022-11-15,P0001,24,172,0
2022-11-16,P0001,137,406,0
2022-11-17,P0001,10,57,0
2022-11-18,P0001,107,152,0
2022-11-19,P0001,156,497,1
2022-11-20,P0001,239,268,1
2022-11-21,P0001,16,257,1
2022-11-22,P0001,63,397,0
2022-11-23,P0001,149,211,1
2022-11-24,P0001,108,113,1
2022-11-25,P0001,268,269,1
2022-11-26,P0001,72,142,0
2022-11-27,P0001,123,191,0
2022-11-28,P0001,10,356,0
2022-11-29,P0001,18,210,1
2022-11-30,P0001,381,500,1
2022-12-01,P0001,191,256,0
2022-12-02,P0001,289,395,1
2022-12-03,P0001,7,186,0
2022-12-04,P0001,350,485,0
2022-12-05,P0001,6,174,1
2022-12-06,P0001,177,468,1
2022-12-07,P0001,90,191,0
2022-12-08,P0001,281,348,1
2022-12-09,P0001,311,311,0
2022-12-10,P0001,80,456,0
2022-12-11,P0001,15,119,1
2022-12-12,P0001,27,264,1
2022-12-13,P0001,41,87,1
2022-12-14,P0001,94,261,0
2022-12-15,P0001,114,201,1
2022-12-16,P0001,301,341,0
2022-12-17,P0001,107,362,1
2022-12-18,P0001,72,132,0
2022-12-19,P0001,43,196,0
2022-12-20,P0001,102,208,0
2022-12-21,P0001,167,246,1
2022-12-22,P0001,279,304,1
2022-12-23,P0001,77,455,1
2022-12-24,P0001,40,87,0
2022-12-25,P0001,86,99,1
2022-12-26,P0001,51,74,1
2022-12-27,P0001,164,448,0
2022-12-28,P0001,48,486,0
2022-12-29,P0001,28,240,0
2022-12-30,P0001,83,456,0
2022-12-31,P0001,378,439,0
2023-01-01,P0001,182,425,1
2023-01-02,P0001,79,358,0
2023-01-03,P0001,236,284,0
2023-01-04,P0001,270,324,1
2023-01-05,P0001,136,376,1
2023-01-06,P0001,14,422,1
2023-01-07,P0001,33,166,1
2023-01-08,P0001,58,146,0
2023-01-09,P0001,46,66,0
2023-01-10,P0001,27,120,1
2023-01-11,P0001,259,333,0
2023-01-12,P0001,25,86,0
2023-01-13,P0001,86,98,1
2023-01-14,P0001,54,273,0
2023-01-15,P0001,377,392,1
2023-01-16,P0001,156,369,0
2023-01-17,P0001,38,251,0
2023-01-18,P0001,137,484,0
2023-01-19,P0001,82,158,1
2023-01-20,P0001,168,316,1
2023-01-21,P0001,63,400,0
2023-01-22,P0001,125,221,1
2023-01-23,P0001,69,130,0
2023-01-24,P0001,407,445,1
2023-01-25,P0001,3,331,0
2023-01-26,P0001,167,467,1
2023-01-27,P0001,88,174,1
2023-01-28,P0001,106,240,0
2023-01-29,P0001,221,296,0
2023-01-30,P0001,65,419,1
2023-01-31,P0001,186,257,1
2023-02-01,P0001,91,191,1
2023-02-02,P0001,169,195,1
2023-02-03,P0001,120,279,0
2023-02-04,P0001,30,142,1
2023-02-05,P0001,64,329,1
2023-02-06,P0001,199,280,0
2023-02-07,P0001,151,464,0
2023-02-08,P0001,145,490,0
2023-02-09,P0001,245,480,0
2023-02-10,P0001,130,376,1
2023-02-11,P0001,354,443,0
2023-02-12,P0001,336,384,1
2023-02-13,P0001,341,348,1
2023-02-14,P0001,122,253,0
2023-02-15,P0001,246,308,0
2023-02-16,P0001,169,293,0
2023-02-17,P0001,173,464,0
2023-02-18,P0001,74,110,1
2023-02-19,P0001,23,454,0
2023-02-20,P0001,86,438,0
2023-02-21,P0001,85,198,0
2023-02-22,P0001,87,133,1
2023-02-23,P0001,237,317,1
2023-02-24,P0001,62,183,0
2023-02-25,P0001,82,127,1
2023-02-26,P0001,247,464,1
2023-02-27,P0001,63,420,0
2023-02-28,P0001,265,270,1
2023-03-01,P0001,24,461,1
2023-03-02,P0001,177,399,1
2023-03-03,P0001,269,365,1
2023-03-04,P0001,168,226,0
2023-03-05,P0001,153,278,1
2023-03-06,P0001,441,479,0
2023-03-07,P0001,35,499,1
2023-03-08,P0001,261,349,0
2023-03-09,P0001,18,80,0
2023-03-10,P0001,132,359,1
2023-03-11,P0001,85,304,1
2023-03-12,P0001,386,449,0
2023-03-13,P0001,12,91,0
2023-03-14,P0001,12,186,1
2023-03-15,P0001,29,72,0
2023-03-16,P0001,53,57,0
2023-03-17,P0001,107,413,0
2023-03-18,P0001,54,104,1
2023-03-19,P0001,233,339,0
2023-03-20,P0001,18,280,1
2023-03-21,P0001,38,318,1
2023-03-22,P0001,262,341,1
2023-03-23,P0001,22,126,1
2023-03-24,P0001,239,471,0
2023-03-25,P0001,382,495,1
2023-03-26,P0001,289,447,0
2023-03-27,P0001,90,279,0
2023-03-28,P0001,339,366,1
2023-03-29,P0001,159,178,1
2023-03-30,P0001,35,166,1
2023-03-31,P0001,171,351,0
2023-04-01,P0001,308,499,1
2023-04-02,P0001,337,470,0
2023-04-03,P0001,231,382,1
2023-04-04,P0001,91,188,1
2023-04-05,P0001,117,370,1
2023-04-06,P0001,270,329,1
2023-04-07,P0001,41,184,0
2023-04-08,P0001,6,78,1
2023-04-09,P0001,33,65,0
2023-04-10,P0001,28,364,0
2023-04-11,P0001,61,64,0
2023-04-12,P0001,233,368,0
2023-04-13,P0001,15,231,1
2023-04-14,P0001,379,486,0
2023-04-15,P0001,109,187,0
2023-04-16,P0001,108,330,0
2023-04-17,P0001,82,332,1
2023-04-18,P0001,58,92,1
2023-04-19,P0001,18,66,1
2023-04-20,P0001,72,419,0
2023-04-21,P0001,153,379,0
2023-04-22,P0001,114,375,0
2023-04-23,P0001,62,396,0
2023-04-24,P0001,37,54,0
2023-04-25,P0001,165,217,1
2023-04-26,P0001,388,438,1
2023-04-27,P0001,213,232,1
2023-04-28,P0001,145,277,1
2023-04-29,P0001,28,217,1
2023-04-30,P0001,18,145,0
2023-05-01,P0001,6,233,0
2023-05-02,P0001,306,324,0
2023-05-03,P0001,58,382,1
2023-05-04,P0001,191,428,1
2023-05-05,P0001,69,153,1
2023-05-06,P0001,11,54,0
2023-05-07,P0001,33,90,1
2023-05-08,P0001,0,135,0
2023-05-09,P0001,20,262,0
2023-05-10,P0001,197,355,0
2023-05-11,P0001,31,73,1
2023-05-12,P0001,121,168,0
2023-05-13,P0001,267,316,0
2023-05-14,P0001,61,107,1
2023-05-15,P0001,15,187,0
2023-05-16,P0001,261,390,0
2023-05-17,P0001,203,237,0
2023-05-18,P0001,168,181,1
2023-05-19,P0001,165,485,1
2023-05-20,P0001,299,494,1
2023-05-21,P0001,93,96,0
2023-05-22,P0001,69,84,0
2023-05-23,P0001,44,68,0
2023-05-24,P0001,101,226,0
2023-05-25,P0001,75,77,1
2023-05-26,P0001,69,208,1
2023-05-27,P0001,50,69,0
2023-05-28,P0001,113,186,1
2023-05-29,P0001,170,201,1
2023-05-30,P0001,1,320,1
2023-05-31,P0001,121,165,0
2023-06-01,P0001,191,244,1
2023-06-02,P0001,76,442,0
2023-06-03,P0001,96,101,1
2023-06-04,P0001,31,206,0
2023-06-05,P0001,41,338,0
2023-06-06,P0001,157,250,1
2023-06-07,P0001,5,390,0
2023-06-08,P0001,317,348,0
2023-06-09,P0001,45,448,1
2023-06-10,P0001,89,227,0
2023-06-11,P0001,209,290,0
2023-06-12,P0001,6,458,1
2023-06-13,P0001,60,84,0
2023-06-14,P0001,281,284,1
2023-06-15,P0001,67,227,0
2023-06-16,P0001,138,191,0
2023-06-17,P0001,51,177,1
2023-06-18,P0001,425,462,1
2023-06-19,P0001,181,321,0
2023-06-20,P0001,47,67,0
2023-06-21,P0001,176,269,0
2023-06-22,P0001,286,327,1
2023-06-23,P0001,55,253,1
2023-06-24,P0001,65,208,1
2023-06-25,P0001,55,77,1
2023-06-26,P0001,286,492,0
2023-06-27,P0001,62,107,0
2023-06-28,P0001,183,199,1
2023-06-29,P0001,148,406,1
2023-06-30,P0001,61,152,1
2023-07-01,P0001,263,291,1
2023-07-02,P0001,163,281,0
2023-07-03,P0001,42,330,0
2023-07-04,P0001,37,113,1
2023-07-05,P0001,147,425,1
2023-07-06,P0001,25,279,0
2023-07-07,P0001,113,486,0
2023-07-08,P0001,170,289,0
2023-07-09,P0001,77,79,0
2023-07-10,P0001,80,239,1
2023-07-11,P0001,26,214,1
2023-07-12,P0001,133,145,0
2023-07-13,P0001,157,340,0
2023-07-14,P0001,153,325,0
2023-07-15,P0001,46,168,1
2023-07-16,P0001,202,322,0
2023-07-17,P0001,83,164,1
2023-07-18,P0001,183,201,0
2023-07-19,P0001,334,445,0
2023-07-20,P0001,346,485,1
2023-07-21,P0001,16,237,1
2023-07-22,P0001,141,451,0
2023-07-23,P0001,114,400,1
2023-07-24,P0001,247,258,0
2023-07-25,P0001,169,416,0
2023-07-26,P0001,153,367,0
2023-07-27,P0001,150,475,0
2023-07-28,P0001,346,492,0
2023-07-29,P0001,23,76,0
2023-07-30,P0001,382,417,0
2023-07-31,P0001,6,94,1
2023-08-01,P0001,109,427,0
2023-08-02,P0001,154,315,1
2023-08-03,P0001,435,500,1
2023-08-04,P0001,55,65,0
2023-08-05,P0001,23,492,1
2023-08-06,P0001,187,201,1
2023-08-07,P0001,14,125,1
2023-08-08,P0001,335,435,1
2023-08-09,P0001,455,470,1
2023-08-10,P0001,176,356,0
2023-08-11,P0001,90,422,1
2023-08-12,P0001,46,140,0
2023-08-13,P0001,145,168,1
2023-08-14,P0001,72,386,0
2023-08-15,P0001,289,408,1
2023-08-16,P0001,50,64,0
2023-08-17,P0001,225,241,0
2023-08-18,P0001,293,333,0
2023-08-19,P0001,39,307,0
2023-08-20,P0001,31,184,1
2023-08-21,P0001,115,121,1
2023-08-22,P0001,143,182,0
2023-08-23,P0001,33,438,0
2023-08-24,P0001,244,266,0
2023-08-25,P0001,92,243,1
2023-08-26,P0001,150,271,0
2023-08-27,P0001,204,394,0
2023-08-28,P0001,189,190,0
2023-08-29,P0001,0,105,0
2023-08-30,P0001,309,461,0
2023-08-31,P0001,64,154,1
2023-09-01,P0001,90,131,0
2023-09-02,P0001,8,188,0
2023-09-03,P0001,62,100,0
2023-09-04,P0001,34,73,1
2023-09-05,P0001,15,265,0
2023-09-06,P0001,127,130,1
2023-09-07,P0001,369,457,1
2023-09-08,P0001,25,51,1
2023-09-09,P0001,105,473,0
2023-09-10,P0001,96,463,0
2023-09-11,P0001,46,201,0
2023-09-12,P0001,10,83,1
2023-09-13,P0001,93,179,1
2023-09-14,P0001,34,244,1
2023-09-15,P0001,18,79,0
2023-09-16,P0001,122,499,1
2023-09-17,P0001,139,456,1
2023-09-18,P0001,262,492,1
2023-09-19,P0001,72,441,0
2023-09-20,P0001,104,138,0
2023-09-21,P0001,309,357,1
2023-09-22,P0001,234,444,1
2023-09-23,P0001,283,374,0
2023-09-24,P0001,28,167,1
2023-09-25,P0001,41,264,0
2023-09-26,P0001,111,200,0
2023-09-27,P0001,351,376,1
2023-09-28,P0001,217,296,1
2023-09-29,P0001,279,388,0
2023-09-30,P0001,64,343,1
2023-10-01,P0001,20,70,0
2023-10-02,P0001,38,382,0
2023-10-03,P0001,204,355,1
2023-10-04,P0001,87,162,0
2023-10-05,P0001,72,287,0
2023-10-06,P0001,415,446,0
2023-10-07,P0001,16,111,0
2023-10-08,P0001,24,114,1
2023-10-09,P0001,110,417,1
2023-10-10,P0001,32,56,1
2023-10-11,P0001,17,50,0
2023-10-12,P0001,77,270,1
2023-10-13,P0001,221,245,1
2023-10-14,P0001,18,480,0
2023-10-15,P0001,31,448,1
2023-10-16,P0001,109,113,1
2023-10-17,P0001,100,168,0
2023-10-18,P0001,108,286,0
2023-10-19,P0001,201,352,0
2023-10-20,P0001,377,395,1
2023-10-21,P0001,56,182,0
2023-10-22,P0001,152,170,0
2023-10-23,P0001,381,389,0
2023-10-24,P0001,20,190,0
2023-10-25,P0001,27,116,0
2023-10-26,P0001,177,219,0
2023-10-27,P0001,20,275,1
2023-10-28,P0001,255,277,0
2023-10-29,P0001,218,243,1
2023-10-30,P0001,362,371,1
2023-10-31,P0001,311,433,1
2023-11-01,P0001,15,110,1
2023-11-02,P0001,139,386,0
2023-11-03,P0001,136,242,0
2023-11-04,P0001,180,287,1
2023-11-05,P0001,21,166,1
2023-11-06,P0001,49,54,0
2023-11-07,P0001,22,191,0
2023-11-08,P0001,324,418,0
2023-11-09,P0001,75,94,1
2023-11-10,P0001,234,287,0
2023-11-11,P0001,59,77,0
2023-11-12,P0001,136,142,1
2023-11-13,P0001,24,67,0
2023-11-14,P0001,56,145,0
2023-11-15,P0001,55,82,1
2023-11-16,P0001,49,155,0
2023-11-17,P0001,416,443,1
2023-11-18,P0001,223,388,1
2023-11-19,P0001,105,342,1
2023-11-20,P0001,365,463,0
2023-11-21,P0001,21,304,1
2023-11-22,P0001,132,151,0
2023-11-23,P0001,226,361,1
2023-11-24,P0001,16,103,0
2023-11-25,P0001,371,403,0
2023-11-26,P0001,52,79,1
2023-11-27,P0001,187,204,0
2023-11-28,P0001,89,448,0
2023-11-29,P0001,110,448,0
2023-11-30,P0001,244,417,1
2023-12-01,P0001,185,397,1
2023-12-02,P0001,200,214,0
2023-12-03,P0001,122,482,0
2023-12-04,P0001,49,57,0
2023-12-05,P0001,66,104,1
2023-12-06,P0001,67,242,1
2023-12-07,P0001,2,270,0
2023-12-08,P0001,263,383,1
2023-12-09,P0001,174,176,0
2023-12-10,P0001,283,329,1
2023-12-11,P0001,143,208,0
2023-12-12,P0001,212,354,0
2023-12-13,P0001,65,184,1
2023-12-14,P0001,49,70,1
2023-12-15,P0001,162,246,0
2023-12-16,P0001,119,159,0
2023-12-17,P0001,55,307,0
2023-12-18,P0001,84,440,1
2023-12-19,P0001,242,280,0
2023-12-20,P0001,136,233,1
2023-12-21,P0001,174,472,1
2023-12-22,P0001,119,330,1
2023-12-23,P0001,188,452,0
2023-12-24,P0001,342,455,1
2023-12-25,P0001,86,109,0
2023-12-26,P0001,46,372,0
2023-12-27,P0001,196,256,0
2023-12-28,P0001,67,104,1
2023-12-29,P0001,168,224,1
2023-12-30,P0001,30,208,0
2023-12-31,P0001,26,135,0
2024-01-01,P0001,40,223,0
2022-01-01,P0002,150,204,0
2022-01-02,P0002,163,416,0
2022-01-03,P0002,199,282,0
2022-01-04,P0002,91,91,1
2022-01-05,P0002,220,270,0
2022-01-06,P0002,230,262,0
2022-01-07,P0002,115,255,0
2022-01-08,P0002,33,55,0
2022-01-09,P0002,9,142,1
2022-01-10,P0002,183,222,0
2022-01-11,P0002,124,127,0
2022-01-12,P0002,63,85,0
2022-01-13,P0002,310,465,0
2022-01-14,P0002,236,374,0
2022-01-15,P0002,92,122,1
2022-01-16,P0002,240,447,1
2022-01-17,P0002,152,236,1
2022-01-18,P0002,6,103,1
2022-01-19,P0002,152,299,1
2022-01-20,P0002,192,319,0
2022-01-21,P0002,171,220,0
2022-01-22,P0002,416,441,0
2022-01-23,P0002,104,263,1
2022-01-24,P0002,139,412,0
2022-01-25,P0002,241,241,1
2022-01-26,P0002,11,70,0
2022-01-27,P0002,67,230,0
2022-01-28,P0002,45,284,1
2022-01-29,P0002,104,306,1
2022-01-30,P0002,121,178,1
2022-01-31,P0002,363,411,1
2022-02-01,P0002,34,268,0
2022-02-02,P0002,170,438,0
2022-02-03,P0002,108,142,1
2022-02-04,P0002,133,274,1
2022-02-05,P0002,289,332,1
2022-02-06,P0002,156,202,1
2022-02-07,P0002,230,255,0
2022-02-08,P0002,281,353,0
2022-02-09,P0002,123,196,0
2022-02-10,P0002,97,233,0
2022-02-11,P0002,48,296,0
2022-02-12,P0002,34,138,0
2022-02-13,P0002,171,388,1
2022-02-14,P0002,89,123,0
2022-02-15,P0002,30,192,1
2022-02-16,P0002,310,316,0
2022-02-17,P0002,435,449,1
2022-02-18,P0002,140,302,0
2022-02-19,P0002,250,449,1
2022-02-20,P0002,308,355,0
2022-02-21,P0002,173,238,0
2022-02-22,P0002,69,204,1
2022-02-23,P0002,139,180,1
2022-02-24,P0002,82,95,1
2022-02-25,P0002,348,443,1
2022-02-26,P0002,160,280,1
2022-02-27,P0002,69,173,1
2022-02-28,P0002,15,182,0
2022-03-01,P0002,41,215,1
2022-03-02,P0002,44,230,0
2022-03-03,P0002,309,400,1
2022-03-04,P0002,195,222,0
2022-03-05,P0002,168,431,0
2022-03-06,P0002,11,89,0
2022-03-07,P0002,165,254,1
2022-03-08,P0002,294,368,0
2022-03-09,P0002,58,88,0
2022-03-10,P0002,82,111,0
2022-03-11,P0002,230,358,0
2022-03-12,P0002,307,491,1
2022-03-13,P0002,149,172,0
2022-03-14,P0002,108,229,1
2022-03-15,P0002,364,405,0
2022-03-16,P0002,105,111,1
2022-03-17,P0002,189,312,0
2022-03-18,P0002,126,139,1
2022-03-19,P0002,89,110,1
2022-03-20,P0002,4,454,1
2022-03-21,P0002,259,395,0
2022-03-22,P0002,63,196,0
2022-03-23,P0002,260,447,1
2022-03-24,P0002,227,268,1
2022-03-25,P0002,125,132,1
2022-03-26,P0002,145,331,1
2022-03-27,P0002,381,393,0
2022-03-28,P0002,121,195,0
2022-03-29,P0002,148,205,0
2022-03-30,P0002,11,328,1
